#AE-772-1
#Oxygen (µmol/L)
Time	dt (s)	C2	E2	G2	
23-04-2026 13:55:22,767	1328.808	30.560642	37.190510	43.492657
23-04-2026 13:55:25,973	1332.014	30.689144	37.355682	43.728012
23-04-2026 13:55:29,174	1335.216	30.804352	37.534546	43.900631
23-04-2026 13:55:32,475	1338.517	30.941942	37.710903	44.126797
23-04-2026 13:55:35,786	1341.828	31.074507	37.891296	44.354095
23-04-2026 13:55:39,087	1345.128	31.221415	38.059254	44.529118
23-04-2026 13:55:42,391	1348.432	31.360516	38.204716	44.746941
23-04-2026 13:55:45,594	1351.636	31.502924	38.400543	44.969658
23-04-2026 13:55:48,796	1354.838	31.637436	38.550507	45.193459
23-04-2026 13:55:52,108	1358.150	31.786505	38.741249	45.387287
23-04-2026 13:55:55,413	1361.455	31.944651	38.926117	45.593616
23-04-2026 13:55:58,717	1364.758	32.077858	39.111790	45.800884
23-04-2026 13:56:02,024	1368.066	32.202999	39.281265	46.040607
23-04-2026 13:56:05,325	1371.366	32.351395	39.461666	46.245918
23-04-2026 13:56:08,531	1374.573	32.506119	39.622295	46.460110
23-04-2026 13:56:11,739	1377.781	32.644161	39.790386	46.651321
23-04-2026 13:56:15,043	1381.085	32.791355	39.972942	46.855358
23-04-2026 13:56:18,349	1384.391	32.927517	40.163212	47.048187
23-04-2026 13:56:21,651	1387.692	33.075775	40.329948	47.290363
23-04-2026 13:56:24,958	1390.999	33.239246	40.483360	47.489067
23-04-2026 13:56:28,265	1394.307	33.388691	40.689934	47.709015
23-04-2026 13:56:31,465	1397.507	33.515137	40.844620	47.925888
23-04-2026 13:56:34,775	1400.816	33.674507	40.996330	48.156132
23-04-2026 13:56:38,078	1404.120	33.846394	41.173401	48.362637
23-04-2026 13:56:41,387	1407.429	34.004124	41.322697	48.570042
23-04-2026 13:56:44,693	1410.735	34.138527	41.497517	48.770000
23-04-2026 13:56:47,996	1414.038	34.267387	41.662277	48.983387
23-04-2026 13:56:51,201	1417.243	34.411728	41.831261	49.201935
23-04-2026 13:56:54,402	1420.444	34.556591	42.026188	49.446854
23-04-2026 13:56:57,707	1423.748	34.705006	42.174786	49.629253
23-04-2026 13:57:01,011	1427.053	34.841797	42.356682	49.859280
23-04-2026 13:57:04,317	1430.359	34.985165	42.539310	50.073254
23-04-2026 13:57:07,617	1433.659	35.122898	42.704327	50.322632
23-04-2026 13:57:10,823	1436.864	35.261116	42.869946	50.517002
23-04-2026 13:57:14,029	1440.070	35.415245	43.039890	50.694775
23-04-2026 13:57:17,336	1443.378	35.560658	43.232777	50.973549
23-04-2026 13:57:20,639	1446.681	35.694153	43.389191	51.183674
23-04-2026 13:57:23,945	1449.986	35.849922	43.579845	51.377094
23-04-2026 13:57:27,248	1453.290	35.996902	43.763786	51.575676
23-04-2026 13:57:30,455	1456.496	36.119251	43.956028	51.792820
23-04-2026 13:57:33,658	1459.700	36.254601	44.126335	51.997551
23-04-2026 13:57:36,964	1463.006	36.396709	44.301098	52.216553
23-04-2026 13:57:40,265	1466.307	36.555191	44.510933	52.436523
23-04-2026 13:57:43,575	1469.617	36.717472	44.644962	52.666500
23-04-2026 13:57:46,875	1472.917	36.851589	44.825569	52.879368
23-04-2026 13:57:50,076	1476.117	36.998981	45.006901	53.093159
23-04-2026 13:57:53,386	1479.427	37.146904	45.169556	53.312420
23-04-2026 13:57:56,689	1482.731	37.288891	45.383415	53.569454
23-04-2026 13:57:59,996	1486.038	37.444347	45.547398	53.753834
23-04-2026 13:58:03,298	1489.339	37.587357	45.747318	53.957439
23-04-2026 13:58:06,604	1492.646	37.730843	45.932297	54.185143
23-04-2026 13:58:09,806	1495.848	37.878113	46.078465	54.376434
23-04-2026 13:58:13,014	1499.055	38.025909	46.268764	54.591942
23-04-2026 13:58:16,319	1502.361	38.184124	46.423939	54.822495
23-04-2026 13:58:19,621	1505.662	38.329681	46.619663	55.025665
23-04-2026 13:58:22,926	1508.967	38.485722	46.808170	55.291470
23-04-2026 13:58:26,232	1512.273	38.635666	46.993389	55.501251
23-04-2026 13:58:29,435	1515.476	38.796188	47.142914	55.702339
23-04-2026 13:58:32,639	1518.680	38.937141	47.321342	55.904182
23-04-2026 13:58:35,947	1521.989	39.075195	47.512684	56.145493
23-04-2026 13:58:39,250	1525.291	39.234016	47.684315	56.349056
23-04-2026 13:58:42,556	1528.598	39.400227	47.864799	56.577808
23-04-2026 13:58:45,863	1531.904	39.543205	48.037735	56.787971
23-04-2026 13:58:49,069	1535.110	39.703766	48.190590	57.038322
23-04-2026 13:58:52,270	1538.312	39.868374	48.385475	57.220692
23-04-2026 13:58:55,477	1541.519	40.002567	48.568638	57.443344
23-04-2026 13:58:58,798	1544.840	40.151035	48.727394	57.671921
23-04-2026 13:59:02,087	1548.128	40.300007	48.911873	57.896481
23-04-2026 13:59:05,390	1551.432	40.449493	49.067554	58.116951
23-04-2026 13:59:08,695	1554.736	40.589012	49.257580	58.313145
23-04-2026 13:59:11,999	1558.041	40.757030	49.444088	58.555622
23-04-2026 13:59:15,206	1561.247	40.879955	49.605770	58.748344
23-04-2026 13:59:18,514	1564.555	41.042042	49.776531	58.992805
23-04-2026 13:59:21,817	1567.858	41.183483	49.969360	59.202473
23-04-2026 13:59:25,126	1571.168	41.375156	50.154339	59.438686
23-04-2026 13:59:28,431	1574.473	41.542656	50.335697	59.634590
23-04-2026 13:59:31,635	1577.677	41.703648	50.517723	59.867531
23-04-2026 13:59:34,838	1580.880	41.843647	50.735310	60.091022
23-04-2026 13:59:38,043	1584.084	41.966061	50.892570	60.325916
23-04-2026 13:59:41,349	1587.391	42.132217	51.116222	60.514565
23-04-2026 13:59:44,652	1590.693	42.262703	51.296761	60.740726
23-04-2026 13:59:47,961	1594.003	42.440914	51.477943	60.967834
23-04-2026 13:59:51,264	1597.306	42.590565	51.690922	61.211823
23-04-2026 13:59:54,465	1600.507	42.733410	51.895889	61.440880
23-04-2026 13:59:57,667	1603.709	42.887737	52.097206	61.660172
23-04-2026 14:00:00,974	1607.015	43.038918	52.272354	61.874935
23-04-2026 14:00:04,277	1610.319	43.220272	52.479729	62.101376
23-04-2026 14:00:07,582	1613.623	43.380013	52.660740	62.334129
23-04-2026 14:00:10,891	1616.933	43.529129	52.874279	62.556973
23-04-2026 14:00:14,194	1620.235	43.674988	53.056725	62.758816
23-04-2026 14:00:17,403	1623.444	43.806301	53.258183	62.988838
23-04-2026 14:00:20,609	1626.650	43.949295	53.432827	63.170227
23-04-2026 14:00:23,915	1629.957	44.111652	53.612686	63.451729
23-04-2026 14:00:27,219	1633.261	44.274597	53.797813	63.656811
23-04-2026 14:00:30,524	1636.566	44.430508	53.951057	63.851505
23-04-2026 14:00:33,825	1639.867	44.613708	54.142090	64.080437
23-04-2026 14:00:37,030	1643.071	44.759281	54.315113	64.293434
23-04-2026 14:00:40,233	1646.275	44.882214	54.488716	64.495956
23-04-2026 14:00:43,540	1649.582	45.059525	54.639328	64.710503
23-04-2026 14:00:46,843	1652.885	45.210400	54.823486	64.937210
23-04-2026 14:00:50,150	1656.192	45.357864	54.989326	65.136330
23-04-2026 14:00:53,471	1659.512	45.537025	55.165222	65.376183
23-04-2026 14:00:56,758	1662.800	45.669895	55.322590	65.576813
23-04-2026 14:00:59,964	1666.006	45.803150	55.523598	65.778137
23-04-2026 14:01:03,163	1669.205	45.972225	55.686886	66.003288
23-04-2026 14:01:06,473	1672.514	46.118202	55.884476	66.223549
23-04-2026 14:01:09,781	1675.823	46.264648	56.087666	66.456276
23-04-2026 14:01:13,086	1679.128	46.411552	56.247856	66.695770
23-04-2026 14:01:16,396	1682.438	46.566895	56.432953	66.948021
23-04-2026 14:01:19,593	1685.634	46.694740	56.648087	67.165955
23-04-2026 14:01:22,798	1688.840	46.871109	56.800182	67.408386
23-04-2026 14:01:26,107	1692.149	46.991737	56.982307	67.616135
23-04-2026 14:01:29,414	1695.456	47.165180	57.179886	67.854454
23-04-2026 14:01:32,723	1698.765	47.339275	57.398087	68.111725
23-04-2026 14:01:36,027	1702.068	47.477386	57.622181	68.376106
23-04-2026 14:01:39,332	1705.374	47.628147	57.787117	68.593338
23-04-2026 14:01:42,531	1708.573	47.808044	57.977692	68.774956
23-04-2026 14:01:45,735	1711.777	47.955742	58.184071	68.999687
23-04-2026 14:01:49,040	1715.082	48.116283	58.360863	69.255852
23-04-2026 14:01:52,343	1718.385	48.298046	58.533180	69.525368
23-04-2026 14:01:55,650	1721.692	48.443134	58.746811	69.734467
23-04-2026 14:01:58,954	1724.996	48.613644	58.920368	69.969002
23-04-2026 14:02:02,158	1728.199	48.755497	59.104736	70.142426
23-04-2026 14:02:05,363	1731.404	48.922935	59.253735	70.390991
23-04-2026 14:02:08,571	1734.613	49.048904	59.434086	70.621857
23-04-2026 14:02:11,875	1737.917	49.225807	59.666862	70.772064
23-04-2026 14:02:15,183	1741.224	49.365261	59.879803	71.035843
23-04-2026 14:02:18,488	1744.530	49.547588	60.030941	71.313362
23-04-2026 14:02:21,793	1747.835	49.666672	60.182495	71.503326
23-04-2026 14:02:24,997	1751.038	49.850128	60.392208	71.725693
23-04-2026 14:02:28,203	1754.245	49.995682	60.534225	71.942459
23-04-2026 14:02:31,526	1757.568	50.145962	60.729450	72.102341
23-04-2026 14:02:34,821	1760.863	50.318302	60.925362	72.423363
23-04-2026 14:02:38,123	1764.165	50.443626	61.111340	72.629677
23-04-2026 14:02:41,428	1767.469	50.621342	61.281895	72.849655
23-04-2026 14:02:44,633	1770.675	50.769215	61.554855	73.044380
23-04-2026 14:02:47,836	1773.877	50.930622	61.748322	73.337616
23-04-2026 14:02:51,042	1777.083	51.057533	61.931675	73.546974
23-04-2026 14:02:54,351	1780.393	51.215519	62.093964	73.803085
23-04-2026 14:02:57,657	1783.699	51.382824	62.305637	74.000824
23-04-2026 14:03:00,963	1787.004	51.550694	62.501717	74.278671
23-04-2026 14:03:04,269	1790.310	51.736897	62.693039	74.477890
23-04-2026 14:03:07,469	1793.510	51.888172	62.830078	74.697762
23-04-2026 14:03:10,675	1796.716	52.062225	63.066612	74.904968
23-04-2026 14:03:13,982	1800.023	52.201015	63.210106	75.207008
23-04-2026 14:03:17,288	1803.330	52.362686	63.426022	75.402428
23-04-2026 14:03:20,593	1806.634	52.515846	63.642776	75.659355
23-04-2026 14:03:23,897	1809.939	52.674015	63.798912	75.903732
23-04-2026 14:03:27,102	1813.143	52.814514	63.977852	76.039917
23-04-2026 14:03:30,303	1816.345	52.991833	64.281128	76.285728
23-04-2026 14:03:33,615	1819.657	53.114956	64.433365	76.443275
23-04-2026 14:03:36,918	1822.959	53.302509	64.557724	76.663132
23-04-2026 14:03:40,223	1826.265	53.440186	64.744736	76.932083
23-04-2026 14:03:43,531	1829.573	53.628933	64.955177	77.118927
23-04-2026 14:03:46,730	1832.771	53.795246	65.120644	77.327164
23-04-2026 14:03:49,937	1835.979	53.943562	65.315239	77.570953
23-04-2026 14:03:53,245	1839.286	54.110912	65.487511	77.780624
23-04-2026 14:03:56,554	1842.596	54.236786	65.741074	78.026123
23-04-2026 14:03:59,857	1845.898	54.377007	65.885635	78.173851
23-04-2026 14:04:03,162	1849.204	54.536396	66.117699	78.371353
23-04-2026 14:04:06,368	1852.409	54.705700	66.222435	78.626167
23-04-2026 14:04:09,673	1855.715	54.861378	66.444138	78.832130
23-04-2026 14:04:12,978	1859.019	55.036499	66.631500	79.081581
23-04-2026 14:04:16,283	1862.325	55.207462	66.831245	79.339149
23-04-2026 14:04:19,586	1865.628	55.345596	67.008041	79.561722
23-04-2026 14:04:22,892	1868.934	55.488876	67.155777	79.842796
23-04-2026 14:04:26,097	1872.139	55.656532	67.351379	80.059853
23-04-2026 14:04:29,305	1875.347	55.800674	67.583359	80.321236
23-04-2026 14:04:32,509	1878.551	55.954868	67.762421	80.576317
23-04-2026 14:04:35,817	1881.858	56.104679	67.972015	80.781067
23-04-2026 14:04:39,118	1885.160	56.293758	68.044044	80.979126
23-04-2026 14:04:42,424	1888.465	56.459167	68.272743	81.251465
23-04-2026 14:04:45,729	1891.771	56.600677	68.484146	81.406586
23-04-2026 14:04:48,934	1894.976	56.781750	68.599213	81.702911
23-04-2026 14:04:52,134	1898.176	56.938854	68.830055	81.918556
23-04-2026 14:04:55,444	1901.486	57.106300	69.067886	82.134926
23-04-2026 14:04:58,749	1904.790	57.284191	69.245338	82.434471
23-04-2026 14:05:02,054	1908.096	57.427910	69.435631	82.652473
23-04-2026 14:05:05,359	1911.401	57.577007	69.706726	82.803215
23-04-2026 14:05:08,562	1914.603	57.796417	69.873688	83.022377
23-04-2026 14:05:11,772	1917.813	57.936535	70.090805	83.234650
23-04-2026 14:05:15,077	1921.119	58.142368	70.283775	83.432350
23-04-2026 14:05:18,381	1924.423	58.323746	70.464844	83.752922
23-04-2026 14:05:21,687	1927.729	58.520950	70.640160	83.898430
23-04-2026 14:05:24,989	1931.031	58.678223	70.834869	84.159569
23-04-2026 14:05:28,196	1934.238	58.841026	71.036530	84.413979
23-04-2026 14:05:31,501	1937.542	58.978790	71.251503	84.708076
23-04-2026 14:05:34,807	1940.848	59.168140	71.454514	84.917816
23-04-2026 14:05:38,112	1944.153	59.281059	71.619949	85.120369
23-04-2026 14:05:41,416	1947.458	59.466324	71.811409	85.393974
23-04-2026 14:05:44,621	1950.662	59.621201	71.984238	85.645035
23-04-2026 14:05:47,931	1953.973	59.792053	72.157532	85.873344
23-04-2026 14:05:51,238	1957.280	59.942684	72.370010	86.110336
23-04-2026 14:05:54,541	1960.582	60.119766	72.550842	86.379852
23-04-2026 14:05:57,849	1963.890	60.276524	72.706291	86.634491
23-04-2026 14:06:01,053	1967.094	60.412731	72.849106	86.873993
23-04-2026 14:06:04,258	1970.300	60.549286	73.057434	87.058189
23-04-2026 14:06:07,465	1973.507	60.701996	73.253372	87.250931
23-04-2026 14:06:10,773	1976.814	60.844547	73.449921	87.508652
23-04-2026 14:06:14,077	1980.119	61.013981	73.640503	87.710670
23-04-2026 14:06:17,380	1983.421	61.194584	73.818481	87.913254
23-04-2026 14:06:20,689	1986.730	61.349087	73.990334	88.246742
23-04-2026 14:06:23,988	1990.030	61.520096	74.229042	88.344635
23-04-2026 14:06:27,196	1993.238	61.707737	74.461998	88.573570
23-04-2026 14:06:30,400	1996.441	61.874443	74.635612	88.852547
23-04-2026 14:06:33,706	1999.748	62.057865	74.856651	89.050102
23-04-2026 14:06:37,014	2003.056	62.176880	75.011162	89.297852
23-04-2026 14:06:40,317	2006.359	62.355873	75.247002	89.480057
23-04-2026 14:06:43,620	2009.662	62.524544	75.409241	89.720940
23-04-2026 14:06:46,827	2012.868	62.688248	75.605804	89.829170
23-04-2026 14:06:50,030	2016.071	62.874374	75.768951	90.046127
23-04-2026 14:06:53,333	2019.375	63.044613	76.028107	90.305641
23-04-2026 14:06:56,638	2022.679	63.209824	76.219727	90.549240
23-04-2026 14:06:59,944	2025.985	63.397690	76.377541	90.743050
23-04-2026 14:07:03,246	2029.287	63.575054	76.584000	90.962708
23-04-2026 14:07:06,450	2032.491	63.730717	76.784187	91.166039
23-04-2026 14:07:09,652	2035.694	63.897964	76.957283	91.446602
23-04-2026 14:07:12,863	2038.905	64.048920	77.179489	91.617149
23-04-2026 14:07:16,168	2042.209	64.239555	77.346649	91.856567
23-04-2026 14:07:19,474	2045.515	64.397041	77.500252	92.053787
23-04-2026 14:07:22,782	2048.823	64.560616	77.724304	92.268776
23-04-2026 14:07:26,085	2052.127	64.718994	77.892876	92.467094
23-04-2026 14:07:29,291	2055.333	64.866447	78.061874	92.683273
23-04-2026 14:07:32,498	2058.540	65.059845	78.217178	92.952209
23-04-2026 14:07:35,808	2061.849	65.208176	78.450790	93.274445
23-04-2026 14:07:39,113	2065.155	65.368340	78.678146	93.449219
23-04-2026 14:07:42,419	2068.460	65.494499	78.899147	93.712112
23-04-2026 14:07:45,724	2071.766	65.655479	79.113708	93.914284
23-04-2026 14:07:48,932	2074.973	65.805321	79.242798	94.125847
23-04-2026 14:07:52,146	2078.188	65.967163	79.508896	94.355682
23-04-2026 14:07:55,436	2081.477	66.146866	79.674858	94.657288
23-04-2026 14:07:58,741	2084.783	66.268906	79.833977	94.817467
23-04-2026 14:08:02,051	2088.092	66.437851	80.102463	95.103020
23-04-2026 14:08:05,354	2091.395	66.601463	80.211632	95.317886
23-04-2026 14:08:08,561	2094.602	66.736183	80.386627	95.569366
23-04-2026 14:08:11,761	2097.803	66.882980	80.694023	95.830673
23-04-2026 14:08:15,070	2101.111	67.100922	80.870277	95.966148
23-04-2026 14:08:18,370	2104.412	67.254524	81.017509	96.219749
23-04-2026 14:08:21,677	2107.719	67.444176	81.268593	96.437752
23-04-2026 14:08:24,987	2111.028	67.562988	81.438972	96.619911
23-04-2026 14:08:28,288	2114.330	67.795380	81.617203	96.802513
23-04-2026 14:08:31,495	2117.536	67.962807	81.758621	97.086357
23-04-2026 14:08:34,702	2120.743	68.166763	81.967583	97.260826
23-04-2026 14:08:38,006	2124.048	68.323174	82.222191	97.518707
23-04-2026 14:08:41,313	2127.355	68.492073	82.349854	97.721893
23-04-2026 14:08:44,619	2130.661	68.661461	82.590790	97.990585
23-04-2026 14:08:47,926	2133.967	68.813118	82.809860	98.306709
23-04-2026 14:08:51,129	2137.170	69.044365	83.052467	98.455940
23-04-2026 14:08:54,335	2140.376	69.141998	83.196899	98.699051
23-04-2026 14:08:57,642	2143.683	69.386757	83.410309	98.867790
23-04-2026 14:09:00,947	2146.988	69.552559	83.647339	99.187492
23-04-2026 14:09:04,251	2150.293	69.731148	83.823746	99.395050
23-04-2026 14:09:07,558	2153.600	69.885506	83.992874	99.650520
23-04-2026 14:09:10,866	2156.908	70.034073	84.170151	99.897308
23-04-2026 14:09:14,070	2160.112	70.207855	84.340141	100.087662
23-04-2026 14:09:17,373	2163.415	70.382149	84.549339	100.354935
23-04-2026 14:09:20,684	2166.726	70.550697	84.704689	100.469795
23-04-2026 14:09:23,986	2170.028	70.707161	84.883789	100.786354
23-04-2026 14:09:27,294	2173.336	70.838898	85.047707	101.007790
23-04-2026 14:09:30,497	2176.539	71.052803	85.204201	101.384613
23-04-2026 14:09:33,701	2179.743	71.223213	85.408119	101.471825
23-04-2026 14:09:37,003	2183.044	71.356064	85.628403	101.743767
23-04-2026 14:09:40,312	2186.354	71.527306	85.794075	101.958046
23-04-2026 14:09:43,620	2189.661	71.686310	85.999748	102.241402
23-04-2026 14:09:46,923	2192.965	71.820160	86.237793	102.486458
23-04-2026 14:09:50,226	2196.268	71.967117	86.436760	102.712585
23-04-2026 14:09:53,530	2199.571	72.140076	86.604347	102.899864
23-04-2026 14:09:56,835	2202.876	72.300629	86.804359	103.097427
23-04-2026 14:10:00,147	2206.188	72.474525	86.972794	103.335159
23-04-2026 14:10:03,449	2209.491	72.597191	87.246376	103.713020
23-04-2026 14:10:06,751	2212.793	72.778358	87.415863	103.862671
23-04-2026 14:10:10,054	2216.095	72.940613	87.601974	104.102608
23-04-2026 14:10:13,358	2219.400	73.109779	87.796677	104.363396
23-04-2026 14:10:16,567	2222.609	73.266327	88.024475	104.614876
23-04-2026 14:10:19,870	2225.912	73.456039	88.212166	104.836823
23-04-2026 14:10:23,177	2229.218	73.593750	88.433113	105.110054
23-04-2026 14:10:26,492	2232.534	73.797623	88.654732	105.353699
23-04-2026 14:10:29,794	2235.836	73.949310	88.852318	105.506287
23-04-2026 14:10:33,101	2239.143	74.141098	89.000816	105.781754
23-04-2026 14:10:36,304	2242.346	74.306877	89.265625	105.945396
23-04-2026 14:10:39,511	2245.553	74.506393	89.514771	106.242813
23-04-2026 14:10:42,819	2248.860	74.653107	89.598007	106.417664
23-04-2026 14:10:46,117	2252.159	74.813553	89.881721	106.654831
23-04-2026 14:10:49,428	2255.470	74.981110	90.099426	106.768478
23-04-2026 14:10:52,731	2258.773	75.176041	90.342987	107.089584
23-04-2026 14:10:55,936	2261.978	75.317566	90.528328	107.349464
23-04-2026 14:10:59,138	2265.180	75.527069	90.739502	107.474457
23-04-2026 14:11:02,347	2268.389	75.649010	90.942764	107.693703
23-04-2026 14:11:05,649	2271.690	75.818771	91.121101	107.861122
23-04-2026 14:11:08,956	2274.997	75.995796	91.308395	108.154900
23-04-2026 14:11:12,260	2278.302	76.187012	91.538902	108.270561
23-04-2026 14:11:15,563	2281.605	76.351349	91.641586	108.407486
23-04-2026 14:11:18,768	2284.810	76.481735	91.933289	108.682014
23-04-2026 14:11:21,969	2288.011	76.722656	92.105415	108.936172
23-04-2026 14:11:25,279	2291.320	76.798546	92.312477	109.159233
23-04-2026 14:11:28,582	2294.623	76.978271	92.442207	109.329529
23-04-2026 14:11:31,882	2297.924	77.144638	92.641525	109.521538
23-04-2026 14:11:35,188	2301.230	77.332291	92.858772	109.746086
23-04-2026 14:11:38,393	2304.435	77.436798	92.928436	109.939049
23-04-2026 14:11:41,599	2307.641	77.632294	93.137787	110.229271
23-04-2026 14:11:44,906	2310.948	77.786308	93.286453	110.390953
23-04-2026 14:11:48,214	2314.255	77.975822	93.531891	110.758461
23-04-2026 14:11:51,519	2317.561	78.151794	93.716553	110.953697
23-04-2026 14:11:54,820	2320.862	78.342377	93.910446	111.116722
23-04-2026 14:11:58,123	2324.165	78.483910	94.157967	111.312752
23-04-2026 14:12:01,329	2327.370	78.668335	94.219971	111.618553
23-04-2026 14:12:04,631	2330.672	78.817696	94.512924	111.859573
23-04-2026 14:12:07,940	2333.982	78.938835	94.753502	112.145302
23-04-2026 14:12:11,241	2337.282	79.074501	94.914299	112.354683
23-04-2026 14:12:14,546	2340.587	79.296440	95.147156	112.597748
23-04-2026 14:12:17,748	2343.789	79.468773	95.344742	112.741692
23-04-2026 14:12:20,953	2346.995	79.684822	95.551857	112.930260
23-04-2026 14:12:24,161	2350.203	79.865395	95.904343	113.197189
23-04-2026 14:12:27,466	2353.508	80.075478	96.013115	113.565582
23-04-2026 14:12:30,767	2356.809	80.213501	96.194756	113.699898
23-04-2026 14:12:34,072	2360.113	80.359055	96.486267	113.834450
23-04-2026 14:12:37,376	2363.418	80.519569	96.641563	114.014114
23-04-2026 14:12:40,578	2366.620	80.709724	96.833870	114.273087
23-04-2026 14:12:43,782	2369.824	80.915108	97.008263	114.363342
23-04-2026 14:12:46,990	2373.032	81.047493	97.192230	114.668571
23-04-2026 14:12:50,301	2376.343	81.261307	97.413589	115.020378
23-04-2026 14:12:53,603	2379.645	81.379570	97.617050	115.156921
23-04-2026 14:12:56,909	2382.950	81.512863	97.774628	115.499146
23-04-2026 14:13:00,212	2386.253	81.690964	97.932571	115.636452
23-04-2026 14:13:03,416	2389.458	81.847237	98.193329	115.739548
23-04-2026 14:13:06,621	2392.663	82.048637	98.286659	116.107033
23-04-2026 14:13:09,929	2395.970	82.183243	98.529884	116.233727
23-04-2026 14:13:13,229	2399.270	82.280632	98.651772	116.545410
23-04-2026 14:13:16,533	2402.575	82.468277	98.792641	116.788559
23-04-2026 14:13:19,842	2405.883	82.581116	98.999733	117.032387
23-04-2026 14:13:23,048	2409.089	82.769623	99.264053	117.253563
23-04-2026 14:13:26,251	2412.292	82.973778	99.415482	117.592163
23-04-2026 14:13:29,553	2415.595	83.148148	99.557739	117.849892
23-04-2026 14:13:32,859	2418.901	83.322975	99.804901	118.061317
23-04-2026 14:13:36,164	2422.206	83.482979	99.938309	118.296761
23-04-2026 14:13:39,472	2425.514	83.651016	100.215355	118.461945
23-04-2026 14:13:42,678	2428.719	83.842453	100.454941	118.615578
23-04-2026 14:13:45,879	2431.921	83.972954	100.618324	118.828751
23-04-2026 14:13:49,188	2435.230	84.172981	100.724167	119.089989
23-04-2026 14:13:52,489	2438.531	84.373596	100.955666	119.316147
23-04-2026 14:13:55,796	2441.837	84.551544	101.178108	119.483170
23-04-2026 14:13:59,097	2445.139	84.737709	101.401176	119.782204
23-04-2026 14:14:02,305	2448.347	84.901024	101.576233	120.034134
23-04-2026 14:14:05,508	2451.549	85.111557	101.800385	120.262611
23-04-2026 14:14:08,811	2454.853	85.213135	102.044754	120.455498
23-04-2026 14:14:12,120	2458.162	85.401108	102.231018	120.612480
23-04-2026 14:14:15,427	2461.468	85.589539	102.329170	120.781837
23-04-2026 14:14:18,735	2464.776	85.786377	102.644165	121.072929
23-04-2026 14:14:22,036	2468.078	85.920547	102.762604	121.230957
23-04-2026 14:14:25,237	2471.279	86.070763	102.970314	121.486832
23-04-2026 14:14:28,443	2474.485	86.181679	103.069359	121.645576
23-04-2026 14:14:31,748	2477.789	86.356346	103.377289	121.902580
23-04-2026 14:14:35,052	2481.094	86.515488	103.616447	122.197144
23-04-2026 14:14:38,355	2484.397	86.682961	103.786308	122.467941
23-04-2026 14:14:41,663	2487.704	86.882858	103.986572	122.677773
23-04-2026 14:14:44,865	2490.907	87.051224	104.197388	122.850906
23-04-2026 14:14:48,069	2494.110	87.211922	104.287903	123.198143
23-04-2026 14:14:51,377	2497.419	87.324638	104.560020	123.272713
23-04-2026 14:14:54,681	2500.722	87.550591	104.752052	123.571602
23-04-2026 14:14:57,985	2504.026	87.696213	104.883698	123.708885
23-04-2026 14:15:01,291	2507.332	87.915199	105.015549	124.046730
23-04-2026 14:15:04,497	2510.539	88.037201	105.259537	124.272621
23-04-2026 14:15:07,696	2513.738	88.257233	105.442986	124.549408
23-04-2026 14:15:10,918	2516.959	88.396095	105.545082	124.713402
23-04-2026 14:15:14,078	2520.120	88.502495	105.790649	124.890259
23-04-2026 14:15:16,909	2522.951	88.666496	105.852135	125.054802
23-04-2026 14:15:19,914	2525.956	88.855530	106.078011	125.397408
23-04-2026 14:15:23,213	2529.255	89.061577	106.294205	125.473694
23-04-2026 14:15:26,525	2532.566	89.210281	106.449005	125.741264
23-04-2026 14:15:29,831	2535.873	89.433937	106.707542	126.047920
23-04-2026 14:15:33,034	2539.076	89.591736	106.800819	126.278564
23-04-2026 14:15:36,244	2542.286	89.716537	107.081268	126.496895
23-04-2026 14:15:39,550	2545.592	89.833237	107.289619	126.664185
23-04-2026 14:15:42,854	2548.895	90.033691	107.394012	126.857559
23-04-2026 14:15:46,158	2552.200	90.192780	107.571732	127.077217
23-04-2026 14:15:49,462	2555.503	90.436279	107.823265	127.336243
23-04-2026 14:15:52,669	2558.711	90.596245	108.012405	127.479019
23-04-2026 14:15:55,975	2562.016	90.807259	108.328568	127.713066
23-04-2026 14:15:59,282	2565.323	90.951103	108.518875	127.999924
23-04-2026 14:16:02,586	2568.627	91.180130	108.773216	128.195953
23-04-2026 14:16:05,888	2571.929	91.367233	108.921944	128.326874
23-04-2026 14:16:09,093	2575.135	91.495117	109.188164	128.523575
23-04-2026 14:16:12,293	2578.335	91.640266	109.273514	128.786453
23-04-2026 14:16:15,598	2581.640	91.785744	109.476616	128.786453
23-04-2026 14:16:18,909	2584.951	91.922928	109.637291	129.168869
23-04-2026 14:16:22,212	2588.254	92.111946	109.905754	129.301086
23-04-2026 14:16:25,518	2591.560	92.266953	110.131920	129.526276
23-04-2026 14:16:28,722	2594.764	92.448166	110.250595	129.712082
23-04-2026 14:16:31,925	2597.966	92.647209	110.466835	130.058121
23-04-2026 14:16:35,124	2601.165	92.811989	110.629341	130.084763
23-04-2026 14:16:38,432	2604.474	92.933655	110.824799	130.458832
23-04-2026 14:16:41,738	2607.780	93.107826	111.086060	130.794052
23-04-2026 14:16:45,045	2611.086	93.308601	111.315292	131.049530
23-04-2026 14:16:48,348	2614.389	93.439827	111.370003	131.184296
23-04-2026 14:16:51,550	2617.591	93.632690	111.632904	131.427246
23-04-2026 14:16:54,758	2620.800	93.702972	111.797630	131.643753
23-04-2026 14:16:58,064	2624.106	93.852501	111.962662	131.982925
23-04-2026 14:17:01,366	2627.408	94.090561	112.227348	132.078110
